"case_id","slug","title","h1","target_user","pain_summary","intro_copy","keywords","faq1_q","faq1_a","faq2_q","faq2_a","faq3_q","faq3_a"
"C2C-15","friend-loan-no-contract-1000","차용증 없는 친구 돈거래 1천만 원, 증여 아닌 대여금 입증하기","친구에게 빌려준 사업자금 1천만 원, 카톡 대화로 돌려받는 법","'증여' 주장에 배신감 느끼는 지인 채권자","증여 주장(그냥 준 돈이다), 카톡 증거 법적 효력","믿고 빌려줬는데 '그냥 준 거 아니었어?'라며 오리발을 내미나요? 떼인 돈 계산기 결과와 함께, 주고받은 카톡 대화를 통해 이것이 '대여금'임을 입증할 수 있습니다. 포기하지 마세요.","친구에게 빌려준 돈, 차용증 없는 대여금, 카톡 증거 효력, 증여 주장 반박","차용증이 없는데 소송이 되나요?","네, 가능합니다. 계좌 이체 내역과 함께 '언제 갚을게', '미안해 조금만 기다려줘' 같은 카톡 대화나 통화 녹음이 있다면 대여 사실을 입증할 수 있습니다.","친구가 그냥 준 돈이라고 우깁니다.","상대방이 이자를 지급했거나 일부라도 갚은 내역이 있다면, 이는 돈을 빌렸다는 것을 인정하는 강력한 정황 증거가 됩니다.","공증을 안 받았는데 괜찮을까요?","공증이 없어도 민사 소송이나 지급명령을 통해 승소 판결을 받으면, 강제집행을 할 수 있는 권한(집행권원)을 얻을 수 있습니다."

"C2C-16","colleague-urgent-loan-500","직장 동료에게 빌려준 급전 500만 원, 지급명령 신청 절차","동료가 급하다 해서 이체한 500만 원, 퇴사 후 연락 두절 해결책","무이자 대여를 후회하며 지급명령과 소송 중 고민하는 채권자","무이자 대여에 대한 후회, 지급명령과 소송 선택","사정이 딱해 도와줬는데 퇴사 후 연락을 피하고 있나요? 계좌 이체 내역이 확실하다면 복잡한 소송 대신 법원의 서류 심사만으로 결정되는 지급명령으로 신속하게 독촉할 수 있습니다.","계좌 이체 대여금 입증, 빌려준 돈 이자 청구, 지급명령 신청 방법, 직장 동료 돈","이자 약속을 안 했는데 이자를 받을 수 있나요?","변제 기한이 지났다면, 그때부터는 민법상 연 5%의 지연손해금을 법적으로 청구할 수 있습니다.","지급명령이 무엇인가요?","채권자의 신청 서류만 보고 법원이 채무자에게 돈을 갚으라고 명령하는 절차로, 일반 소송보다 비용이 적고 확정되면 판결문과 같은 효력이 있습니다.","상대방 주소를 모르면 어떻게 하죠?","지급명령은 상대방 주소를 알아야 송달이 가능합니다. 주소를 모른다면 정식 민사 소송을 제기하여 통신사 사실조회 등을 통해 주소를 파악해야 합니다."

"C2C-18","second-hand-fraud-30","중고나라 사기 피해 30만 원, 경찰 신고와 배상명령 신청","중고 거래 먹튀 30만 원, 민사 소송 없이 돈 돌려받는 배상명령","사기꾼 신원 미파악에 답답해하는 중고 거래 피해자","사기꾼 신원 특정 어려움, 형사/민사 병행 방법","소액이라고 경찰 신고만 하고 포기하셨나요? 형사 재판 과정에서 별도의 민사 소송 없이 피해 금액을 돌려받으라는 명령을 받아낼 수 있는 '배상명령' 제도를 적극 활용해 보세요.","중고거래 사기 피해금, 소액 사기 고소, 배상 명령 신청, 신원 특정","범인이 잡히면 돈을 바로 받을 수 있나요?","범인이 잡혀도 돈을 바로 주는 것은 아닙니다. 형사 합의를 하거나, 법원에 배상명령을 신청하여 집행권원을 확보해야 강제집행이 가능합니다.","배상명령 신청은 어떻게 하나요?","사기범이 기소되어 형사 재판이 진행 중일 때, 해당 법원에 배상명령 신청서를 제출하면 됩니다. 별도의 인지대가 들지 않습니다.","민사 소송을 따로 해야 하나요?","배상명령이 인용되어 확정되면 민사 판결문과 동일한 효력이 있으므로, 별도의 민사 소송을 하지 않아도 강제집행이 가능합니다."

"C2C-19","ex-lover-living-expense-2000","헤어진 연인에게 빌려준 2천만 원, 데이트 비용 vs 대여금 구분","전 연인 생활비/월세 대납 2천만 원, 이별 후 법적 반환 청구","감정적 고통으로 협상이 불가능하고 연인 관계 채무 입증이 난해한 채권자","감정적 고통, 연인 관계 채무 입증 난해함","사랑했던 사이라 차용증 없이 생활비를 보태줬나요? 상대방이 '증여'나 '데이트 비용'이라고 주장할 때를 대비해 떼인 돈 계산기로 정확한 반환 범위를 확인하고 법적 대응을 준비하세요.","헤어진 연인 돈 문제, 연인 간 대여금 소송, 데이트 비용 반환, 생활비 대여","데이트 비용도 돌려받을 수 있나요?","단순한 데이트 비용이나 선물은 증여로 보아 돌려받기 어렵지만, '빌려준 돈'이나 '대납해 준 월세' 등 갚기로 약속한 금전은 대여금으로 청구 가능합니다.","증거가 카톡밖에 없는데 괜찮나요?","연인 사이에서는 카톡 대화가 핵심 증거입니다. '나중에 줄게', '미안해' 등 채무를 인정하는 내용이 있다면 승소 가능성이 높아집니다.","상대가 연락을 끊고 잠수를 탔습니다.","소송을 제기한 후 주소 보정 명령을 통해 상대방의 주민등록초본을 발급받아 주소를 파악할 수 있으며, 끝까지 송달이 안 되면 공시송달로 판결을 받을 수 있습니다."

"P2C-28","cleaning-service-dispute-40","입주 청소 잔금 40만 원 미지급, 고객 불만과 대금 청구","청소 상태 트집 잡으며 잔금 40만 원 안 주는 고객 대응법","고객 불만 제기에 위축된 청소 업체 소상공인","고객 불만 제기에 대한 위축감, 현장 증거 사진 중요성","청소는 끝났는데 꼬투리를 잡으며 잔금을 안 주시나요? 감정적으로 대응하기보다 작업 완료 사진과 견적서를 바탕으로 당당하게 지급을 요청해야 합니다. 법은 무조건 고객 편이 아닙니다.","입주 청소 잔금, 서비스 대금 미지급, 내용증명 작성법, 소액 분쟁","고객이 청소 상태가 마음에 안 든다고 돈을 안 줍니다.","단순 불만족은 대금 지급 거절 사유가 되지 않습니다. 중대한 하자가 있다면 보수나 감액을 요구할 수는 있어도, 대금 전체를 안 주는 것은 부당합니다.","내용증명을 보내면 해결될까요?","내용증명은 상대방에게 강력한 심리적 압박을 주어 소송 전에 대금을 지급하게 만드는 효과적인 수단이 될 수 있습니다.","소송하기엔 금액이 너무 적은데요.","3,000만 원 이하의 금전 청구는 '이행권고결정'이나 '소액심판'을 통해 비교적 간편하고 빠르게 판결을 받을 수 있습니다."

